year,month,format,sst_mean,t2m_mean,d2m_mean,wind_speed_mean,deltaT_mean,n_hours
1991,05,grib,302.488525390625,301.7362670898437,296.7742614746094,3.833035469055176,-0.7522979974746704,744
1991,06,grib,302.41033935546875,301.1642761230469,298.01922607421875,6.226726055145264,-1.2460466623306274,720
1991,07,nc,301.4750671386719,299.6303100585937,297.16754150390625,8.247915267944336,-1.8447662591934204,744
1991,08,grib,300.4610290527344,298.9346618652344,296.4206237792969,7.352205753326416,-1.5263612270355225,744
1991,09,grib,300.8622436523437,299.2581787109375,295.9783020019531,3.685065984725952,-1.6040433645248413,720
1991,10,grib,301.5824584960937,300.19146728515625,294.2018737792969,2.943143129348755,-1.390982985496521,744
1991,11,grib,301.07049560546875,299.36871337890625,292.7714538574219,2.9655747413635254,-1.701777696609497,720
1991,12,grib,299.9195556640625,297.15338134765625,289.0745849609375,3.651988029479981,-2.7661571502685547,744
1992,01,nc,299.0553894042969,296.722900390625,288.8671264648437,3.5954840183258057,-2.332491397857666,744
1992,02,grib,298.9312438964844,296.4044189453125,288.4751281738281,4.256003379821777,-2.5268611907958984,696
1992,03,grib,299.15008544921875,298.57501220703125,290.8759155273437,4.302844524383545,-0.5750734210014343,744
1992,04,grib,300.4342346191406,299.9073486328125,293.1943054199219,4.277374744415283,-0.5268723368644714,720
1992,05,grib,301.996826171875,301.3881530761719,295.9562683105469,4.333509922027588,-0.6086797118186951,744
1992,06,grib,302.44293212890625,301.2924194335937,297.2935485839844,5.562150955200195,-1.150503158569336,720
1992,07,nc,301.5225524902344,299.90020751953125,297.2328796386719,7.052096366882324,-1.6223762035369873,744
1992,08,grib,300.8389587402344,299.0716857910156,296.7103576660156,6.4549407958984375,-1.7672537565231323,744
1992,09,grib,301.334228515625,299.58770751953125,296.1199645996094,4.672942638397217,-1.7465457916259766,720
1992,10,grib,301.58367919921875,299.8642578125,294.9693298339844,2.9823904037475586,-1.7194243669509888,744
1992,11,grib,300.89532470703125,299.5693054199219,292.6361999511719,3.79698657989502,-1.3259987831115725,720
1992,12,grib,300.2957763671875,297.99822998046875,290.21246337890625,2.980616331100464,-2.2975378036499023,744
1993,01,nc,299.5623779296875,297.23077392578125,289.4269104003906,4.3849382400512695,-2.3315908908843994,744
1993,02,grib,299.45025634765625,297.7284851074219,289.20977783203125,3.658291816711426,-1.7217614650726318,672
1993,03,grib,299.7430419921875,298.5702209472656,290.8232421875,3.540414810180664,-1.172816276550293,744
1993,04,grib,300.6432189941406,300.10662841796875,293.70037841796875,3.8157575130462646,-0.5365778207778931,720
1993,05,grib,302.21844482421875,301.54498291015625,296.36590576171875,4.39152193069458,-0.6734643578529358,744
1993,06,grib,302.57257080078125,301.1409606933594,297.72882080078125,5.520200252532959,-1.4316160678863523,720
1993,07,nc,301.8695068359375,299.9847106933594,297.406005859375,7.636160850524902,-1.8848105669021609,744
1993,08,grib,300.7840270996094,299.28472900390625,296.7640991210937,6.586344242095947,-1.4992828369140625,744
1993,09,grib,301.1781311035156,299.2074279785156,296.28662109375,4.910994529724121,-1.970730781555176,720
1993,10,grib,302.1744384765625,300.0783386230469,296.1705627441406,2.625478029251098,-2.09609603881836,744
1993,11,grib,301.4381408691406,299.5218200683594,292.7597045898437,3.644357681274414,-1.91633939743042,720
1993,12,grib,299.8960266113281,297.5577087402344,290.5081787109375,3.343002796173096,-2.3382928371429443,744
1994,01,nc,299.8260803222656,297.2520446777344,289.817138671875,3.605893611907959,-2.5739870071411133,744
1994,02,grib,299.0774841308594,297.0223693847656,288.6891174316406,4.10258674621582,-2.0551247596740723,672
1994,03,grib,300.1851501464844,299.87213134765625,292.6094970703125,3.648158550262451,-0.3130187094211578,744
1994,04,grib,301.3148498535156,300.2148742675781,294.0033569335937,3.5803921222686768,-1.0999562740325928,720
1994,05,grib,302.25885009765625,301.42138671875,296.1425476074219,4.464024066925049,-0.8374810814857483,744
1994,06,grib,302.0780334472656,300.57183837890625,297.663330078125,6.935670375823975,-1.5061854124069214,720
1994,07,nc,300.9309997558594,299.34088134765625,296.9648132324219,8.764344215393066,-1.590129256248474,744
1994,08,grib,300.3275451660156,298.98175048828125,296.4682312011719,7.629336833953857,-1.3457801342010498,744
1994,09,grib,300.7373352050781,298.9678039550781,295.2896728515625,4.897345066070557,-1.7695269584655762,720
1994,10,grib,301.86041259765625,300.3576965332031,295.2388000488281,2.3157801628112797,-1.502721667289734,744
1994,11,grib,301.3398742675781,299.4684753417969,292.5240783691406,3.49887490272522,-1.871405839920044,720
1994,12,grib,299.74371337890625,297.1342468261719,289.0599975585937,3.995157241821289,-2.6094367504119877,744
1995,01,nc,298.8739013671875,296.0846252441406,288.0718688964844,4.140924453735352,-2.7892768383026123,744
1995,02,grib,299.2611999511719,297.49322509765625,289.9773864746094,3.6563472747802734,-1.7679561376571655,672
1995,03,grib,299.32061767578125,298.5571594238281,291.1367492675781,4.038262367248535,-0.7634723782539368,744
1995,04,grib,300.7713317871094,300.4612121582031,293.461181640625,3.71221661567688,-0.3101275265216827,720
1995,05,grib,302.0547790527344,301.529052734375,296.3621826171875,4.297473430633545,-0.5256828665733337,744
